lsoa_code,borough,major_category,minor_category,value,year,month
E01002267,Havering,Theft and Handling,Theft From Shops,0,2011,10
E01002795,Islington,Other Notifiable Offences,Other Notifiable,3,2012,9
E01003534,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2011,6
E01001054,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,4
E01000498,Brent,Drugs,Drug Trafficking,0,2009,2
E01000942,Camden,Theft and Handling,Handling Stolen Goods,0,2014,7
E01001280,Ealing,Theft and Handling,Other Theft Person,0,2012,9
E01001408,Enfield,Theft and Handling,Handling Stolen Goods,0,2009,12
E01003901,Richmond upon Thames,Violence Against the Person,Harassment,0,2008,12
E01003041,Lambeth,Sexual Offences,Other Sexual,0,2013,8
E01000645,Bromley,Violence Against the Person,Harassment,0,2012,4
E01001980,Haringey,Theft and Handling,Theft From Shops,0,2011,6
E01003743,Redbridge,Theft and Handling,Theft From Shops,0,2015,6
